period,residential_status,non-seasonally_adj_unemp,seasonally_adj_unemp
1992-03,citizen,25200,30400
1992-06,citizen,39100,29500
1992-09,citizen,26900,32300
1992-12,citizen,27200,26900
1993-03,citizen,21400,25800
1993-06,citizen,38700,29100
1993-09,citizen,26000,31500
1993-12,citizen,29100,28700
1994-03,citizen,24600,28700
1994-06,citizen,38600,29100
1994-09,citizen,24500,32000
1994-12,citizen,33600,32000
1995-03,citizen,26600,31000
1995-06,citizen,42800,32300
1995-09,citizen,22000,28700
1995-12,citizen,33800,32100
1996-03,citizen,28600,33300
1996-06,citizen,44300,33500
1996-09,citizen,22200,28900
1996-12,citizen,31500,29900
1997-03,citizen,24600,28600
1997-06,citizen,36600,27900
1997-09,citizen,22100,28500
1997-12,citizen,34000,32300
1998-03,citizen,30300,35200
1998-06,citizen,49000,37800
1998-09,citizen,54000,68500
1998-12,citizen,74900,70600
1999-03,citizen,55600,64800
1999-06,citizen,72200,56600
1999-09,citizen,50500,62800
1999-12,citizen,53100,49600
2000-03,citizen,51800,60600
2000-06,citizen,86900,69600
2000-09,citizen,34300,41500
2000-12,citizen,50500,46900
2001-03,citizen,35500,41700
2001-06,citizen,57600,46700
2001-09,citizen,52100,61900
2001-12,citizen,86400,80200
2002-03,citizen,65100,76500
2002-06,citizen,87200,71400
2002-09,citizen,66700,78000
2002-12,citizen,81600,76400
2003-03,citizen,66800,78200
2003-06,citizen,91100,74500
2003-09,citizen,85200,98800
2003-12,citizen,87500,83500
2004-03,citizen,69900,80700
2004-06,citizen,92700,75200
2004-09,citizen,56200,65000
2004-12,citizen,71900,70800
2005-03,citizen,60500,68300
2005-06,citizen,87300,69700
2005-09,citizen,63700,74400
2005-12,citizen,59100,60100
2006-03,citizen,52000,57200
2006-06,citizen,75300,59500
2006-09,citizen,51600,60600
2006-12,citizen,60600,63500
2007-03,citizen,57800,62100
2007-06,citizen,67900,53200
2007-09,citizen,36400,42800
2007-12,citizen,41300,44300
2008-03,citizen,46100,48000
2008-06,citizen,67100,52200
2008-09,citizen,49500,59100
2008-12,citizen,61500,67700
2009-03,citizen,78300,81500
2009-06,citizen,101100,78200
2009-09,citizen,70300,82600
2009-12,citizen,53300,59500
2010-03,citizen,54100,56600
2010-06,citizen,74900,57600
2010-09,citizen,49600,58000
2010-12,citizen,52200,58600
2011-03,citizen,46600,49600
2011-06,citizen,70900,53800
2011-09,citizen,45700,53400
2011-12,citizen,48300,54600
2012-03,citizen,52800,56100
2012-06,citizen,69900,52800
2012-09,citizen,46100,53800
2012-12,citizen,46900,53500
2013-03,citizen,50000,53300
2013-06,citizen,72400,54300
2013-09,citizen,43400,50500
2013-12,citizen,45800,52900
2014-03,citizen,52300,55900
2014-06,citizen,72700,54500
2014-09,citizen,46700,53800
2014-12,citizen,43700,50600
2015-03,citizen,47800,51600
2015-06,citizen,74900,55900
2015-09,citizen,51200,58500
2015-12,citizen,49200,56900
2016-03,citizen,47000,51000
2016-06,citizen,81000,60400
2016-09,citizen,51500,59000
2016-12,citizen,57100,65700
2017-03,citizen,61400,67100
2017-06,citizen,85000,63200
2017-09,citizen,53800,61500
2017-12,citizen,51100,58800
2018-03,citizen,52800,58300
2018-06,citizen,79200,58800
2018-09,citizen,50800,57500
2018-12,citizen,52900,60900
2019-03,citizen,57300,63900
2019-06,citizen,87300,65200
2019-09,citizen,55800,61800
2019-12,citizen,55100,63500
2020-03,citizen,61800,69600
2020-06,citizen,108800,82200
2020-09,citizen,88600,95300
2020-12,citizen,76800,88900
2021-03,citizen,73500,82900
2021-06,citizen,99800,76600
2021-09,citizen,70000,73600
2021-12,citizen,59700,69300
2022-03,citizen,58300,65600
2022-06,citizen,78700,61000
2022-09,citizen,59400,61700
2022-12,citizen,51200,59500
2023-03,citizen,49100,55700
2023-06,citizen,72700,56800
