Date,Temperature,Description,timestamp
2023-11-28 18:00:00,278.54,broken clouds,2023-11-28 18:00:00
2023-11-28 21:00:00,277.63,broken clouds,2023-11-28 21:00:00
2023-11-29 00:00:00,276.43,scattered clouds,2023-11-29 00:00:00
2023-11-29 03:00:00,275.06,broken clouds,2023-11-29 03:00:00
2023-11-29 06:00:00,275.32,overcast clouds,2023-11-29 06:00:00
2023-11-29 09:00:00,276.26,overcast clouds,2023-11-29 09:00:00
2023-11-29 12:00:00,279.1,overcast clouds,2023-11-29 12:00:00
2023-11-29 15:00:00,278.84,overcast clouds,2023-11-29 15:00:00
2023-11-29 18:00:00,277.93,overcast clouds,2023-11-29 18:00:00
2023-11-29 21:00:00,276.68,broken clouds,2023-11-29 21:00:00
2023-11-30 00:00:00,277.96,overcast clouds,2023-11-30 00:00:00
2023-11-30 03:00:00,277.84,overcast clouds,2023-11-30 03:00:00
2023-11-30 06:00:00,278.17,overcast clouds,2023-11-30 06:00:00
2023-11-30 09:00:00,278.07,overcast clouds,2023-11-30 09:00:00
2023-11-30 12:00:00,278.75,overcast clouds,2023-11-30 12:00:00
2023-11-30 15:00:00,278.58,light rain,2023-11-30 15:00:00
2023-11-30 18:00:00,277.72,light rain,2023-11-30 18:00:00
2023-11-30 21:00:00,277.56,light snow,2023-11-30 21:00:00
2023-12-01 00:00:00,276.68,light rain,2023-12-01 00:00:00
2023-12-01 03:00:00,275.61,light snow,2023-12-01 03:00:00
2023-12-01 06:00:00,275.41,light rain,2023-12-01 06:00:00
2023-12-01 09:00:00,275.26,light snow,2023-12-01 09:00:00
2023-12-01 12:00:00,276.51,light snow,2023-12-01 12:00:00
2023-12-01 15:00:00,276.72,overcast clouds,2023-12-01 15:00:00
2023-12-01 18:00:00,274.29,overcast clouds,2023-12-01 18:00:00
2023-12-01 21:00:00,273.78,overcast clouds,2023-12-01 21:00:00
2023-12-02 00:00:00,274.02,overcast clouds,2023-12-02 00:00:00
2023-12-02 03:00:00,273.96,overcast clouds,2023-12-02 03:00:00
2023-12-02 06:00:00,273.99,overcast clouds,2023-12-02 06:00:00
2023-12-02 09:00:00,274.67,overcast clouds,2023-12-02 09:00:00
2023-12-02 12:00:00,276.86,overcast clouds,2023-12-02 12:00:00
2023-12-02 15:00:00,276.37,scattered clouds,2023-12-02 15:00:00
2023-12-02 18:00:00,273.72,scattered clouds,2023-12-02 18:00:00
2023-12-02 21:00:00,273.47,scattered clouds,2023-12-02 21:00:00
2023-12-03 00:00:00,273.37,scattered clouds,2023-12-03 00:00:00
2023-12-03 03:00:00,273.36,scattered clouds,2023-12-03 03:00:00
2023-12-03 06:00:00,273.49,few clouds,2023-12-03 06:00:00
2023-12-03 09:00:00,273.94,few clouds,2023-12-03 09:00:00
2023-12-03 12:00:00,277.49,few clouds,2023-12-03 12:00:00
2023-12-03 15:00:00,276.86,overcast clouds,2023-12-03 15:00:00
